POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Dealer,0,0,2,BHK,904.1295252,1,1,"Suraksha Nagar,Bangalore",20.098413,79.10786,49.7
Owner,1,1,1,BHK,535.0136726,0,1,"Sector-74 Noida,Noida",28.577673,77.389781,45.0
Dealer,0,0,2,BHK,1260.162602,1,1,"Sector-18 Vasundhara,Ghaziabad",28.65998,77.37027900000001,62.0
Owner,0,0,1,BHK,540.0216009,1,1,"Nyay Khand III,Ghaziabad",28.66667,77.41667,45.0
Owner,0,0,1,BHK,519.8915009,1,1,"Hingna Road,Nagpur",21.106063,79.00644100000001,23.0
Dealer,0,0,2,BHK,855.1225127,1,1,"Rajarhat,Kolkata",22.54111,88.33778000000001,52.0
Owner,0,0,8,BHK,2020.20202,1,1,"Makronia,Sagar",23.907227,78.725124,80.0
Dealer,0,0,1,BHK,699.9705276000001,1,1,"Nahur East,Mumbai",4.575,13.68139,95.0
Dealer,0,0,3,BHK,1350.318471,1,1,"Manish Nagar,Nagpur",21.094632,79.074805,53.0
Dealer,0,0,3,BHK,1067.168864,1,1,"Waghbil,Lalitpur",24.69028,78.41889,170.0
Dealer,1,0,2,BHK,700.0840101,0,1,"Paruthipet,Chennai",13.09,80.27,25.0
Dealer,0,0,4,BHK,2508.623393,1,1,"New Town,Kolkata",22.5922,88.484911,160.0
Dealer,0,0,3,BHK,1484.88121,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,55.0
Dealer,0,1,2,BHK,1174.114234,1,1,"Goregaon (East),Mumbai",19.1615,72.8731,170.0
Owner,0,0,3,BHK,1224.145209,1,1,"Sarjapur Road,Bangalore",12.86,77.786,58.0
Dealer,0,0,2,BHK,1560.190507,1,1,"Sector-6A Kamothe,Lalitpur",23.674533,86.17094200000001,95.0
Dealer,0,1,3,BHK,1850.094877,1,1,"Sector-79 Noida,Noida",28.558047,77.392752,97.5
Owner,0,0,3,BHK,1800.232288,1,1,"Sector 2 Faridabad,Faridabad",28.153836,77.31698399999999,62.0
Dealer,0,0,4,BHK,2486.999774,1,1,"Rajarhat,Kolkata",22.54111,88.33778000000001,110.0
Owner,0,0,3,BHK,1955.034213,1,1,"Basava Nagar,Bangalore",12.967994,77.683497,200.0
Dealer,0,1,2,BHK,1092.188078,1,1,"NIBM,Pune",18.475864,73.89000899999999,59.0
Dealer,0,1,2,BHK,1220.833333,1,1,"Electronic City Phase II,Bangalore",12.8458,77.6727,58.6
Dealer,1,1,3,BHK,1341.090018,0,0,"Vanagaram,Chennai",13.062455,80.156453,65.7
Owner,0,0,2,BHK,1008.645533,1,1,"Abrama,Valsad",20.600601,72.953228,21.0
Owner,0,0,1,BHK,465.0081376,1,1,"Ramprastha,Ghaziabad",28.66667,77.41667,40.0
Dealer,0,0,2,BHK,1000.0,1,1,"Thane West,Lalitpur",19.18,72.96333,120.0
Owner,0,0,1,BHK,570.1254276000001,1,1,"Devarachikkanahalli,Bangalore",12.96991,77.59796,25.0
Owner,0,0,3,BHK,1000.0,1,1,"Kanak Vihar,Jaipur",22.077054,79.553859,35.0
Owner,0,0,3,BHK,1400.4914,1,1,"Sevoke Road,Siliguri",26.724219,88.326357,34.2
Dealer,0,1,2,BHK,591.9304179999999,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,24.5
Owner,0,0,2,BHK,719.8952879999999,1,1,"Godugupet,Machilipatnam",16.16667,81.13333,22.0
Dealer,0,1,3,BHK,1548.387097,1,0,"Sector-109 Gurgaon,Gurgaon",28.510825,77.006087,120.0
Dealer,1,1,2,BHK,1121.160027,0,0,"Byculla,Mumbai",18.97507,72.83283399999999,300.0
Dealer,0,0,2,BHK,1000.0,1,1,"Powai,Maharashtra",19.12,72.91,160.0
Builder,1,1,1,BHK,455.10964,0,0,"Wakad,Lalitpur",18.5993,73.7625,44.0
Dealer,0,0,3,BHK,2666.020359,1,1,"Iblur Village,Bangalore",12.91668,77.59196,220.0
Dealer,1,0,3,BHK,1000.0,0,1,"Andul Road,Kolkata",22.587684,88.256718,26.0
Dealer,0,0,3,BHK,1733.299595,1,1,"Kakkanad,Kochi",9.930471,76.271273,68.5
Dealer,0,1,3,BHK,2383.474576,1,1,"Mahalaxmi,Mumbai",18.978006,72.806154,720.0
Owner,0,0,3,BHK,1850.507983,1,1,"Jakhan,Dehradun",30.362597,78.06729399999999,51.0
Owner,0,0,1,BHK,538.1035486000001,1,1,"CIDCO Waluj Mahanagar 1,Aurangabad",19.886242000000003,75.359748,18.5
Dealer,0,1,3,BHK,1756.2346329999998,1,1,"Ramprastha Greens,Ghaziabad",28.651918,77.348794,150.0
Owner,0,0,2,BHK,1440.144014,1,1,"Kudasan,Gandhinagar",23.166495,72.63429000000001,48.0
Owner,0,0,2,BHK,1116.005874,1,1,"Chenchupet,Tenali",16.245539,80.63748000000001,38.0
Dealer,0,0,1,BHK,648.1682202000001,1,1,"Manjari Budruk,Pune",18.539235,73.875126,29.9
Owner,0,0,3,BHK,10410.9589,1,1,"V.V Puram,Bangalore",12.9521,77.576835,190.0
Dealer,0,0,4,BHK,2893.97527,1,1,"Swaroop Nagar,Kanpur",26.4725,80.33111,330.0
Owner,0,0,2,BHK,750.0340924999999,1,1,"Sector-4C Vasundhara,Ghaziabad",23.674752,86.150586,55.0
Dealer,0,0,2,BHK,913.4287662,1,1,"Sector-44 Noida,Noida",28.552626,77.33394799999999,26.8
Dealer,1,1,1,RK,202.8366631,0,0,"Bhandup (West),Lalitpur",19.147866,72.932609,39.9
Dealer,1,1,3,BHK,1252.019386,0,1,"Tamando,Bhubaneswar",20.236361,85.743845,46.5
Dealer,1,1,2,BHK,700.0736919999999,0,1,"Taloja,Mumbai",19.076057,73.097319,38.0
